sheet,year,totalSmoke,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
maori_male_22,96,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,97,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,98,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,99,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,100,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,101,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,102,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,103,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,104,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,105,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,106,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,107,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,108,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
maori_male_22,109,0.0013,0.1914,0.2315,0.0479,0.0328,0.0208,0.0813
