year_start,year_end,agecategory,sex,strata,cs,qsqv_1,qscv_1
3,4,0,male,non-maori,0.0506,0.0442,0.0531
3,4,5,male,non-maori,0.0506,0.0442,0.0531
3,4,10,male,non-maori,0.0506,0.0442,0.0531
3,4,15,male,non-maori,0.0506,0.0442,0.0531
3,4,20,male,non-maori,0.0506,0.0442,0.0531
3,4,25,male,non-maori,0.05,0.0434,0.0521
3,4,30,male,non-maori,0.0506,0.0442,0.0531
3,4,35,male,non-maori,0.0506,0.0442,0.0531
3,4,40,male,non-maori,0.0499,0.0422,0.0507
3,4,45,male,non-maori,0.0146,0.0469,0.0563
3,4,50,male,non-maori,0.0299,0.0482,0.0579
3,4,55,male,non-maori,0.0301,0.0488,0.0586
3,4,60,male,non-maori,0.0309,0.0518,0.0621
3,4,65,male,non-maori,0.0697,0.0595,0.0713
3,4,70,male,non-maori,0.0786,0.0621,0.0745
3,4,75,male,non-maori,0.086,0.0641,0.077
3,4,80,male,non-maori,0.1097,0.0697,0.0836
3,4,85,male,non-maori,0.1314,0.0742,0.0891
3,4,90,male,non-maori,0.1314,0.0742,0.0891
3,4,95,male,non-maori,0.1717,0.0817,0.098
3,4,100,male,non-maori,0.1717,0.0817,0.098
3,4,105,male,non-maori,0.1717,0.0817,0.098
4,5,0,female,maori,0.096,0.0517,0.0625
4,5,5,female,maori,0.096,0.0517,0.0625
4,5,10,female,maori,0.096,0.0517,0.0625
4,5,15,female,maori,0.096,0.0517,0.0625
4,5,20,female,maori,0.096,0.0517,0.0625
4,5,25,female,maori,0.096,0.0517,0.0625
4,5,30,female,maori,0.096,0.0517,0.0625
4,5,35,female,maori,0.096,0.0517,0.0625
4,5,40,female,maori,0.086,0.0521,0.063
4,5,45,female,maori,0.8332574971136271,0.066701137675624,0.0800413652107488
4,5,50,female,maori,0.826168548302271,0.0699233871353312,0.0839080645623974
4,5,55,female,maori,0.810997151729232,0.0768194764867125,0.0921833717840549
4,5,60,female,maori,0.7944891544377729,0.0843231116191942,0.10118773394303301
4,5,65,female,maori,0.460499407392344,0.10855055194484901,0.130260662333818
4,5,70,female,maori,0.564917181575463,0.11698743384910401,0.140384920618925
4,5,75,female,maori,0.695360460655977,0.129381608792738,0.155257930551285
4,5,80,female,maori,0.6733127111981879,0.139403313091733,0.16728397571007902
4,5,85,female,maori,0.647674955431592,0.151056838440185,0.18126820612822198
4,5,90,female,maori,0.622682689222172,0.162416959444467,0.194900351333361
4,5,95,female,maori,0.6020461858145251,0.17179718826612497,0.20615662591935002
4,5,100,female,maori,0.59484206512876,0.175071788577836,0.21008614629340303
4,5,105,female,maori,0.59484206512876,0.175071788577836,0.21008614629340303
4,5,0,female,non-maori,0.0298,0.0444,0.0533
4,5,5,female,non-maori,0.0298,0.0444,0.0533
4,5,10,female,non-maori,0.0298,0.0444,0.0533
4,5,15,female,non-maori,0.0298,0.0444,0.0533
4,5,20,female,non-maori,0.0298,0.0444,0.0533
4,5,25,female,non-maori,0.0298,0.0444,0.0533
4,5,30,female,non-maori,0.0298,0.0444,0.0533
4,5,35,female,non-maori,0.0298,0.0444,0.0533
4,5,40,female,non-maori,0.0298,0.0444,0.0533
4,5,45,female,non-maori,0.183122935221471,0.0580246655789459,0.069629598694735
4,5,50,female,non-maori,0.184875148383387,0.0597939113722592,0.0717526936467111
4,5,55,female,non-maori,0.19130507372325,0.0637042191185834,0.0764450629423001
4,5,60,female,non-maori,0.20198905953706198,0.068067204527609,0.0816806454331307
4,5,65,female,non-maori,0.0946396933335086,0.0898007940770322,0.107760952892439
4,5,70,female,non-maori,0.11600836142130198,0.0928726721610387,0.111447206593246
4,5,75,female,non-maori,0.203599443589468,0.10266384190456401,0.12319661028547699
4,5,80,female,non-maori,0.289271168000314,0.109743781404813,0.131692537685776
4,5,85,female,non-maori,0.48105714903477104,0.121276581946244,0.145531898335492
4,5,90,female,non-maori,0.67093154300715,0.14048566226947698,0.168582794723373
4,5,95,female,non-maori,0.67093154300715,0.14048566226947698,0.168582794723373
4,5,100,female,non-maori,0.0120000148260798,0.09641245147966301,0.115694941775596
4,5,105,female,non-maori,0.0120000148260798,0.09641245147966301,0.115694941775596
4,5,0,male,maori,0.1729,0.0776,0.0939
4,5,5,male,maori,0.1729,0.0776,0.0939
4,5,10,male,maori,0.1729,0.0776,0.0939
4,5,15,male,maori,0.1729,0.0776,0.0939
4,5,20,male,maori,0.1729,0.0776,0.0939
4,5,25,male,maori,0.1729,0.0776,0.0939
4,5,30,male,maori,0.1729,0.0776,0.0939
4,5,35,male,maori,0.1614,0.077,0.0931
4,5,40,male,maori,0.1521,0.0765,0.0926
4,5,45,male,maori,0.33320543557442306,0.077534043939681,0.0930408527276172
4,5,50,male,maori,0.3034564627374,0.0781802416967814,0.0938162900361377
4,5,55,male,maori,0.260900674430199,0.0789656453992749,0.0947587744791299
4,5,60,male,maori,0.23416510894423898,0.0793920813646639,0.0952704976375967
4,5,65,male,maori,0.0776,0.1091,0.131
4,5,70,male,maori,0.076,0.1102,0.1322
4,5,75,male,maori,0.0717,0.1102,0.1322
4,5,80,male,maori,0.0628,0.1085,0.1301
4,5,85,male,maori,0.0534,0.1057,0.1269
4,5,90,male,maori,0.0371,0.0995,0.1194
4,5,95,male,maori,0.0219,0.0925,0.111
4,5,100,male,maori,0.1283,0.0869,0.1043
4,5,105,male,maori,0.1283,0.0869,0.1043
4,5,0,male,non-maori,0.05,0.0434,0.0521
4,5,5,male,non-maori,0.05,0.0434,0.0521
4,5,10,male,non-maori,0.05,0.0434,0.0521
4,5,15,male,non-maori,0.05,0.0434,0.0521
4,5,20,male,non-maori,0.05,0.0434,0.0521
4,5,25,male,non-maori,0.0498,0.0428,0.0513
4,5,30,male,non-maori,0.05,0.0434,0.0521
4,5,35,male,non-maori,0.05,0.0434,0.0521
4,5,40,male,non-maori,0.0502,0.0418,0.0502
4,5,45,male,non-maori,0.0152,0.047,0.0564
4,5,50,male,non-maori,0.0301,0.0488,0.0586
4,5,55,male,non-maori,0.0302,0.0494,0.0593
4,5,60,male,non-maori,0.031,0.0524,0.0628
4,5,65,male,non-maori,0.0718,0.0601,0.0721
4,5,70,male,non-maori,0.081,0.0628,0.0753
4,5,75,male,non-maori,0.0887,0.0648,0.0778
4,5,80,male,non-maori,0.113,0.0704,0.0845
4,5,85,male,non-maori,0.1354,0.075,0.09
4,5,90,male,non-maori,0.1354,0.075,0.09
4,5,95,male,non-maori,0.1768,0.0826,0.0991
4,5,100,male,non-maori,0.1768,0.0826,0.0991
4,5,105,male,non-maori,0.1768,0.0826,0.0991
5,6,0,female,maori,0.096,0.0517,0.0625
5,6,5,female,maori,0.086,0.0521,0.063
5,6,10,female,maori,0.086,0.0521,0.063
5,6,15,female,maori,0.086,0.0521,0.063
5,6,20,female,maori,0.086,0.0521,0.063
5,6,25,female,maori,0.086,0.0521,0.063
5,6,30,female,maori,0.086,0.0521,0.063
5,6,35,female,maori,0.086,0.0521,0.063
5,6,40,female,maori,0.086,0.0521,0.063
5,6,45,female,maori,0.0791,0.0527,0.0637
5,6,50,female,maori,0.8297236866701401,0.0683074151499364,0.0819688981799237
5,6,55,female,maori,0.822591558775783,0.0715492914655532,0.0858591497586638
5,6,60,female,maori,0.806966813022227,0.0786514486262602,0.0943817383515123
5,6,65,female,maori,0.7901174157508759,0.0863102655677837,0.10357231868134
5,6,70,female,maori,0.48418466131803994,0.110682453340759,0.13281894400891
