year,age,sex,strata,DU-->FSFV,DU-->FSCV,CS-->FSCV,CS-->FSFV,DU-->CS,CS-->DU
5,57,female,maori,0.138,0.042955023,0.154,0.138,0.042955023,0.154
6,57,female,maori,0.155,0.049395977,0.109,0.155,0.049395977,0.109
7,57,female,maori,0.155,0.055868873,0.109,0.155,0.055868873,0.109
8,57,female,maori,0.155,0.062362502,0.109,0.155,0.062362502,0.109
9,57,female,maori,0.155,0.068865548,0.109,0.155,0.068865548,0.109
10,57,female,maori,0.155,0.075368134,0.109,0.155,0.075368134,0.109
11,57,female,maori,0.155,0.081862821,0.109,0.155,0.081862821,0.109
12,57,female,maori,0.155,0.088344971,0.109,0.155,0.088344971,0.109
13,57,female,maori,0.155,0.094812569,0.109,0.155,0.094812569,0.109
14,57,female,maori,0.155,0.101265687,0.109,0.155,0.101265687,0.109
15,57,female,maori,0.155,0.107705798,0.109,0.155,0.107705798,0.109
16,57,female,maori,0.155,0.114135105,0.109,0.155,0.114135105,0.109
17,57,female,maori,0.155,0.101265687,0.109,0.155,0.101265687,0.109
18,57,female,maori,0.155,0.101265687,0.109,0.155,0.101265687,0.109
19,57,female,maori,0.155,0.107705798,0.109,0.155,0.107705798,0.109
20,57,female,maori,0.155,0.114135105,0.109,0.155,0.114135105,0.109
0,62,male,non-maori,0,0,0,0,0,0
1,62,male,non-maori,0,0,0,0,0,0
2,62,male,non-maori,0,0,0,0,0,0
3,62,male,non-maori,0,0,0,0,0,0
4,62,male,non-maori,0.138,0.012657206,0.154,0.138,0.012657206,0.154
5,62,male,non-maori,0.138,0.014664973,0.154,0.138,0.014664973,0.154
6,62,male,non-maori,0.138,0.016692285,0.154,0.138,0.016692285,0.154
7,62,male,non-maori,0.138,0.018738991,0.154,0.138,0.018738991,0.154
8,62,male,non-maori,0.138,0.020804204,0.154,0.138,0.020804204,0.154
9,62,male,non-maori,0.155,0.022886391,0.109,0.155,0.022886391,0.109
10,62,male,non-maori,0.155,0.024983493,0.109,0.155,0.024983493,0.109
11,62,male,non-maori,0.155,0.027093071,0.109,0.155,0.027093071,0.109
12,62,male,non-maori,0.155,0.02921246,0.109,0.155,0.02921246,0.109
13,62,male,non-maori,0.155,0.031338923,0.109,0.155,0.031338923,0.109
14,62,male,non-maori,0.155,0.033469791,0.109,0.155,0.033469791,0.109
15,62,male,non-maori,0.155,0.035602594,0.109,0.155,0.035602594,0.109
16,62,male,non-maori,0.155,0.037735146,0.109,0.155,0.037735146,0.109
17,62,male,non-maori,0.155,0.039865618,0.109,0.155,0.039865618,0.109
18,62,male,non-maori,0.155,0.041992565,0.109,0.155,0.041992565,0.109
19,62,male,non-maori,0.155,0.044114936,0.109,0.155,0.044114936,0.109
20,62,male,non-maori,0.155,0.044114936,0.109,0.155,0.044114936,0.109
0,62,male,maori,0,0,0,0,0,0
1,62,male,maori,0,0,0,0,0,0
2,62,male,maori,0,0,0,0,0,0
3,62,male,maori,0.138,0.019707788,0.154,0.138,0.019707788,0.154
4,62,male,maori,0.138,0.020902962,0.154,0.138,0.020902962,0.154
5,62,male,maori,0.138,0.02210758,0.154,0.138,0.02210758,0.154
6,62,male,maori,0.138,0.023321433,0.154,0.138,0.023321433,0.154
7,62,male,maori,0.138,0.024544032,0.154,0.138,0.024544032,0.154
8,62,male,maori,0.155,0.025774635,0.109,0.155,0.025774635,0.109
9,62,male,maori,0.155,0.027012286,0.109,0.155,0.027012286,0.109
10,62,male,maori,0.155,0.028255864,0.109,0.155,0.028255864,0.109
11,62,male,maori,0.155,0.029504135,0.109,0.155,0.029504135,0.109
12,62,male,maori,0.155,0.030755815,0.109,0.155,0.030755815,0.109
13,62,male,maori,0.155,0.03200962,0.109,0.155,0.03200962,0.109
14,62,male,maori,0.155,0.033264318,0.109,0.155,0.033264318,0.109
15,62,male,maori,0.155,0.034518776,0.109,0.155,0.034518776,0.109
16,62,male,maori,0.155,0.035771992,0.109,0.155,0.035771992,0.109
17,62,male,maori,0.155,0.037023125,0.109,0.155,0.037023125,0.109
18,62,male,maori,0.155,0.038271502,0.109,0.155,0.038271502,0.109
19,62,male,maori,0,0,0,0,0,0
20,62,male,maori,0,0,0,0,0,0
0,62,female,non-maori,0,0,0,0,0,0
1,62,female,non-maori,0,0,0,0,0,0
2,62,female,non-maori,0.138,0.012717467,0.154,0.138,0.012717467,0.154
3,62,female,non-maori,0.138,0.019217543,0.154,0.138,0.019217543,0.154
4,62,female,non-maori,0.138,0.025781239,0.154,0.138,0.025781239,0.154
5,62,female,non-maori,0.138,0.032415183,0.154,0.138,0.032415183,0.154
6,62,female,non-maori,0.138,0.039117096,0.154,0.138,0.039117096,0.154
7,62,female,non-maori,0.155,0.045877137,0.109,0.155,0.045877137,0.109
8,62,female,non-maori,0.155,0.052680389,0.109,0.155,0.052680389,0.109
9,62,female,non-maori,0.155,0.059509849,0.109,0.155,0.059509849,0.109
10,62,female,non-maori,0.155,0.06634925,0.109,0.155,0.06634925,0.109
11,62,female,non-maori,0.155,0.073185189,0.109,0.155,0.073185189,0.109
