year_start,year_end,agecategory,sex,strata,cscv,qsqv_1,qscv_1
1,2,10,male,maori,0.0206,0.0137,0.0199
1,2,15,male,maori,0.0206,0.0137,0.0199
1,2,20,male,maori,0.0206,0.0137,0.0199
1,2,25,male,maori,0.0206,0.0137,0.0199
1,2,30,male,maori,0.0206,0.0137,0.0199
1,2,35,male,maori,0.0212,0.0136,0.0197
1,2,40,male,maori,0.0218,0.0134,0.0196
1,2,45,male,maori,0.0516170732515774,0.0191328007874599,0.0191328007874599
1,2,50,male,maori,0.0526659304088717,0.0192909256043014,0.0192909256043014
1,2,55,male,maori,0.054189497179788,0.0195450604241953,0.0195450604241953
1,2,60,male,maori,0.0551686431489804,0.0196734840673744,0.0196734840673744
1,2,65,male,maori,0.0183,0.0269,0.0269
1,2,70,male,maori,0.022000000000000002,0.0274,0.0274
1,2,75,male,maori,0.0264,0.0276,0.0276
1,2,80,male,maori,0.0326,0.0274,0.0274
1,2,85,male,maori,0.0384,0.027000000000000003,0.027000000000000003
1,2,90,male,maori,0.0481,0.0257,0.0257
1,2,95,male,maori,0.0572,0.0242,0.0242
1,2,100,male,maori,0.0736,0.0217,0.0217
1,2,105,male,maori,0.0736,0.0217,0.0217
1,2,0,male,non-maori,0.0228,0.0116,0.0116
1,2,5,male,non-maori,0.0228,0.0116,0.0116
1,2,10,male,non-maori,0.0228,0.0116,0.0116
1,2,15,male,non-maori,0.0228,0.0116,0.0116
1,2,20,male,non-maori,0.0228,0.0116,0.0116
1,2,25,male,non-maori,0.0235,0.0113,0.0113
1,2,30,male,non-maori,0.0228,0.0116,0.0116
1,2,35,male,non-maori,0.0228,0.0116,0.0116
1,2,40,male,non-maori,0.0251,0.0109,0.0109
1,2,45,male,non-maori,0.032,0.0117,0.0117
1,2,50,male,non-maori,0.0341,0.0118,0.0118
1,2,55,male,non-maori,0.0346,0.0119,0.0119
1,2,60,male,non-maori,0.0373,0.0126,0.0126
1,2,65,male,non-maori,0.0577,0.0145,0.0145
1,2,70,male,non-maori,0.0634,0.0152,0.0152
1,2,75,male,non-maori,0.0681,0.0157,0.0157
1,2,80,male,non-maori,0.0824,0.0171,0.0171
1,2,85,male,non-maori,0.095,0.0182,0.0182
1,2,90,male,non-maori,0.095,0.0182,0.0182
1,2,95,male,non-maori,0.1176,0.02,0.02
1,2,100,male,non-maori,0.1176,0.02,0.02
1,2,105,male,non-maori,0.1176,0.02,0.02
2,3,0,female,maori,0.008,0.0087,0.0127
2,3,5,female,maori,0.008,0.0087,0.0127
2,3,10,female,maori,0.008,0.0087,0.0127
2,3,15,female,maori,0.008,0.0087,0.0127
2,3,20,female,maori,0.008,0.0087,0.0127
2,3,25,female,maori,0.008,0.0087,0.0127
2,3,30,female,maori,0.008,0.0087,0.0127
2,3,35,female,maori,0.008,0.0087,0.0127
2,3,40,female,maori,0.0079,0.0088,0.0128
2,3,45,female,maori,0.0482661921489513,0.0159258981161979,0.0159258981161979
2,3,50,female,maori,0.0474219659197987,0.016675284418906,0.016675284418906
2,3,55,female,maori,0.0457775543833206,0.0182963475411637,0.0182963475411637
2,3,60,female,maori,0.0441901647194884,0.020123391353142,0.020123391353142
2,3,65,female,maori,0.0234018587444762,0.0260789834673063,0.0260789834673063
2,3,70,female,maori,0.0259854709492949,0.0282059804197774,0.0282059804197774
2,3,75,female,maori,0.0304054160282045,0.0313300521776718,0.0313300521776718
2,3,80,female,maori,0.0346578205227843,0.0338607804051166,0.0338607804051166
2,3,85,female,maori,0.0405528710132804,0.0368022869271665,0.0368022869271665
2,3,90,female,maori,0.0474506279567876,0.0396531863158273,0.0396531863158273
2,3,95,female,maori,0.0540869214186795,0.0420003112248812,0.0420003112248812
2,3,100,female,maori,0.0649654842552282,0.0435209017210376,0.0435209017210376
2,3,105,female,maori,0.0649654842552282,0.0435209017210376,0.0435209017210376
2,3,0,female,non-maori,0.0224,0.0114,0.0114
2,3,5,female,non-maori,0.0224,0.0114,0.0114
2,3,10,female,non-maori,0.0224,0.0114,0.0114
2,3,15,female,non-maori,0.0224,0.0114,0.0114
