age,sex,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
16,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
16,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
17,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
17,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
18,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
18,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
19,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
19,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
20,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
20,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
21,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
21,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
22,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
22,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
23,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
23,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
24,female,0.0,0.0,0.0,6864.3786033745255,2420.582016872623,3665.825429895437
24,male,0.0,0.0,0.0,7640.92372053232,1940.761946055133,3186.0053590779467
25,female,-8732.764481178707,-10512.295351711027,-16248.776623574144,6864.3786033745255,2420.582016872623,3665.825429895437
25,male,-10712.772230988594,-13485.11048326996,-22585.236422053233,7640.92372053232,1940.761946055133,3186.0053590779467
26,female,-8732.764481178707,-10512.295351711027,-16248.776623574144,6864.3786033745255,2420.582016872623,3665.825429895437
26,male,-10712.772230988594,-13485.11048326996,-22585.236422053233,7640.92372053232,1940.761946055133,3186.0053590779467
27,female,-8732.764481178707,-10512.295351711027,-16248.776623574144,6864.3786033745255,2420.582016872623,3665.825429895437
27,male,-10712.772230988594,-13485.11048326996,-22585.236422053233,7640.92372053232,1940.761946055133,3186.0053590779467
28,female,-8732.764481178707,-10512.295351711027,-16248.776623574144,6864.3786033745255,2420.582016872623,3665.825429895437
28,male,-10712.772230988594,-13485.11048326996,-22585.236422053233,7640.92372053232,1940.761946055133,3186.0053590779467
29,female,-8732.764481178707,-10512.295351711027,-16248.776623574144,6864.3786033745255,2420.582016872623,3665.825429895437
