age,sex,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
14,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
15,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
15,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
16,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
16,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
17,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
17,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
18,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
18,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
19,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
19,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
20,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
20,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
21,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
21,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
22,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
22,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
23,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
23,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
24,female,0.0,0.0,0.0,15508.110145674906,2052.5261219106465,2610.7450437262355
24,male,0.0,0.0,0.0,16230.676782081748,1572.7060510931558,2130.924972908745
25,female,-9618.609792775664,-7286.363492395437,-24237.54870342205,15508.110145674906,2052.5261219106465,2610.7450437262355
25,male,-9369.064816539923,-11867.243221768062,-39275.92479752852,16230.676782081748,1572.7060510931558,2130.924972908745
26,female,-9618.609792775664,-7286.363492395437,-24237.54870342205,15508.110145674906,2052.5261219106465,2610.7450437262355
26,male,-9369.064816539923,-11867.243221768062,-39275.92479752852,16230.676782081748,1572.7060510931558,2130.924972908745
27,female,-9618.609792775664,-7286.363492395437,-24237.54870342205,15508.110145674906,2052.5261219106465,2610.7450437262355
27,male,-9369.064816539923,-11867.243221768062,-39275.92479752852,16230.676782081748,1572.7060510931558,2130.924972908745
28,female,-9618.609792775664,-7286.363492395437,-24237.54870342205,15508.110145674906,2052.5261219106465,2610.7450437262355
28,male,-9369.064816539923,-11867.243221768062,-39275.92479752852,16230.676782081748,1572.7060510931558,2130.924972908745
29,female,-9618.609792775664,-7286.363492395437,-24237.54870342205,15508.110145674906,2052.5261219106465,2610.7450437262355
29,male,-9369.064816539923,-11867.243221768062,-39275.92479752852,16230.676782081748,1572.7060510931558,2130.924972908745
30,female,-9321.25278136882,-6989.0064809885935,-23940.19169201521,16322.240953659695,2306.281178944867,4501.824397338402
30,male,-4629.791851711027,-7127.970256939163,-34536.651832699616,17024.90523265209,1926.594843868821,4122.138062262357
31,female,-9321.25278136882,-6989.0064809885935,-23940.19169201521,16322.240953659695,2306.281178944867,4501.824397338402
31,male,-4629.791851711027,-7127.970256939163,-34536.651832699616,17024.90523265209,1926.594843868821,4122.138062262357
