age,sex,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
38,male,-893.4616397338402,-1878.07569296578,-16482.652733555133,6604.348528517111,2519.123119771863,3540.282869771863
39,female,-6475.804813688213,-6321.302486692015,-13997.059836787073,6039.781287785171,2813.780186787072,3834.939936787072
39,male,-893.4616397338402,-1878.07569296578,-16482.652733555133,6604.348528517111,2519.123119771863,3540.282869771863
40,female,-4762.100710551331,-4958.83400674905,-15136.928412547531,6547.4691014733835,2540.6558711977177,4559.421286596958
40,male,-732.974221568441,-1568.7789061026615,-15702.085100760456,7852.510657794675,2315.9236045627376,4334.689019961977
41,female,-4762.100710551331,-4958.83400674905,-15136.928412547531,6547.4691014733835,2540.6558711977177,4559.421286596958
41,male,-732.974221568441,-1568.7789061026615,-15702.085100760456,7852.510657794675,2315.9236045627376,4334.689019961977
42,female,-4762.100710551331,-4958.83400674905,-15136.928412547531,6547.4691014733835,2540.6558711977177,4559.421286596958
42,male,-732.974221568441,-1568.7789061026615,-15702.085100760456,7852.510657794675,2315.9236045627376,4334.689019961977
43,female,-4762.100710551331,-4958.83400674905,-15136.928412547531,6547.4691014733835,2540.6558711977177,4559.421286596958
43,male,-732.974221568441,-1568.7789061026615,-15702.085100760456,7852.510657794675,2315.9236045627376,4334.689019961977
44,female,-4762.100710551331,-4958.83400674905,-15136.928412547531,6547.4691014733835,2540.6558711977177,4559.421286596958
44,male,-732.974221568441,-1568.7789061026615,-15702.085100760456,7852.510657794675,2315.9236045627376,4334.689019961977
45,female,-2519.996208079848,-2716.7295042775663,-12894.823910076046,7018.284244058936,2319.9529434410642,5426.950830323192
45,male,-879.3481854467681,-1715.1528699809885,-15848.459064638782,8915.865182509506,2150.041009505703,5257.038896387833
46,female,-2519.996208079848,-2716.7295042775663,-12894.823910076046,7018.284244058936,2319.9529434410642,5426.950830323192
46,male,-879.3481854467681,-1715.1528699809885,-15848.459064638782,8915.865182509506,2150.041009505703,5257.038896387833
47,female,-2519.996208079848,-2716.7295042775663,-12894.823910076046,7018.284244058936,2319.9529434410642,5426.950830323192
47,male,-879.3481854467681,-1715.1528699809885,-15848.459064638782,8915.865182509506,2150.041009505703,5257.038896387833
48,female,-2519.996208079848,-2716.7295042775663,-12894.823910076046,7018.284244058936,2319.9529434410642,5426.950830323192
48,male,-879.3481854467681,-1715.1528699809885,-15848.459064638782,8915.865182509506,2150.041009505703,5257.038896387833
49,female,-2519.996208079848,-2716.7295042775663,-12894.823910076046,7018.284244058936,2319.9529434410642,5426.950830323192
49,male,-879.3481854467681,-1715.1528699809885,-15848.459064638782,8915.865182509506,2150.041009505703,5257.038896387833
50,female,-2049.165339353612,-2657.5028754752852,-9015.681875475284,7452.226715541824,2151.671403517111,6437.528567965779
50,male,-1912.555405893536,-2917.303927756654,-15716.485123574143,9794.412102661596,2021.47533460076,6307.332499049428
51,female,-2049.165339353612,-2657.5028754752852,-9015.681875475284,7452.226715541824,2151.671403517111,6437.528567965779
51,male,-1912.555405893536,-2917.303927756654,-15716.485123574143,9794.412102661596,2021.47533460076,6307.332499049428
52,female,-2049.165339353612,-2657.5028754752852,-9015.681875475284,7452.226715541824,2151.671403517111,6437.528567965779
52,male,-1912.555405893536,-2917.303927756654,-15716.485123574143,9794.412102661596,2021.47533460076,6307.332499049428
53,female,-2049.165339353612,-2657.5028754752852,-9015.681875475284,7452.226715541824,2151.671403517111,6437.528567965779
53,male,-1912.555405893536,-2917.303927756654,-15716.485123574143,9794.412102661596,2021.47533460076,6307.332499049428
54,female,-2049.165339353612,-2657.5028754752852,-9015.681875475284,7452.226715541824,2151.671403517111,6437.528567965779
54,male,-1912.555405893536,-2917.303927756654,-15716.485123574143,9794.412102661596,2021.47533460076,6307.332499049428
55,female,-4060.0376121673,-4668.375148288973,-11026.554148288973,7849.296515922053,2035.8112514258555,7591.154499524714
55,male,-4735.620102661596,-5740.368624524715,-18539.549820342207,10488.151418250949,1930.2265798479086,7485.569827946768
56,female,-4060.0376121673,-4668.375148288973,-11026.554148288973,7849.296515922053,2035.8112514258555,7591.154499524714
56,male,-4735.620102661596,-5740.368624524715,-18539.549820342207,10488.151418250949,1930.2265798479086,7485.569827946768
57,female,-4060.0376121673,-4668.375148288973,-11026.554148288973,7849.296515922053,2035.8112514258555,7591.154499524714
57,male,-4735.620102661596,-5740.368624524715,-18539.549820342207,10488.151418250949,1930.2265798479086,7485.569827946768
58,female,-4060.0376121673,-4668.375148288973,-11026.554148288973,7849.296515922053,2035.8112514258555,7591.154499524714
58,male,-4735.620102661596,-5740.368624524715,-18539.549820342207,10488.151418250949,1930.2265798479086,7485.569827946768
59,female,-4060.0376121673,-4668.375148288973,-11026.554148288973,7849.296515922053,2035.8112514258555,7591.154499524714
59,male,-4735.620102661596,-5740.368624524715,-18539.549820342207,10488.151418250949,1930.2265798479086,7485.569827946768
60,female,-7397.835852661597,-8520.571918631178,-13675.67783269962,8209.49364519962,1972.3724871673005,8887.828625
60,male,-9129.196032889731,-10979.424345912545,-20318.81563973384,10997.083129277566,1876.2947452471485,8791.750883079847
