age,sex,income_first,income,income_last,expenditure_rate_first,expenditure_rate,expenditure_rate_last
25,male,-9859.187833288974,-8812.7726378327,-32924.88142015209,3448.8541941539916,2582.8706371197723,2070.167251663498
26,female,-7786.912187167299,-7249.647758840303,-22083.25858460076,5901.850842918249,3062.6907079372627,2549.9873224809885
26,male,-9859.187833288974,-8812.7726378327,-32924.88142015209,3448.8541941539916,2582.8706371197723,2070.167251663498
27,female,-7786.912187167299,-7249.647758840303,-22083.25858460076,5901.850842918249,3062.6907079372627,2549.9873224809885
27,male,-9859.187833288974,-8812.7726378327,-32924.88142015209,3448.8541941539916,2582.8706371197723,2070.167251663498
28,female,-7786.912187167299,-7249.647758840303,-22083.25858460076,5901.850842918249,3062.6907079372627,2549.9873224809885
28,male,-9859.187833288974,-8812.7726378327,-32924.88142015209,3448.8541941539916,2582.8706371197723,2070.167251663498
29,female,-7786.912187167299,-7249.647758840303,-22083.25858460076,5901.850842918249,3062.6907079372627,2549.9873224809885
29,male,-9859.187833288974,-8812.7726378327,-32924.88142015209,3448.8541941539916,2582.8706371197723,2070.167251663498
30,female,-7489.555175760456,-6952.290747433461,-21785.901573193914,7677.2477440589355,3220.3102706749046,4287.267655180608
30,male,-5119.914868460076,-4073.4996730038033,-28185.608455323192,5838.825230275666,2840.623935598859,3907.5813201045617
31,female,-7489.555175760456,-6952.290747433461,-21785.901573193914,7677.2477440589355,3220.3102706749046,4287.267655180608
31,male,-5119.914868460076,-4073.4996730038033,-28185.608455323192,5838.825230275666,2840.623935598859,3907.5813201045617
32,female,-7489.555175760456,-6952.290747433461,-21785.901573193914,7677.2477440589355,3220.3102706749046,4287.267655180608
32,male,-5119.914868460076,-4073.4996730038033,-28185.608455323192,5838.825230275666,2840.623935598859,3907.5813201045617
33,female,-7489.555175760456,-6952.290747433461,-21785.901573193914,7677.2477440589355,3220.3102706749046,4287.267655180608
33,male,-5119.914868460076,-4073.4996730038033,-28185.608455323192,5838.825230275666,2840.623935598859,3907.5813201045617
34,female,-7489.555175760456,-6952.290747433461,-21785.901573193914,7677.2477440589355,3220.3102706749046,4287.267655180608
34,male,-5119.914868460076,-4073.4996730038033,-28185.608455323192,5838.825230275666,2840.623935598859,3907.5813201045617
35,female,-7434.2231073193925,-6896.958678992396,-21730.56950475285,9266.504293488593,3358.827124287073,6059.643662785171
35,male,-2479.314529106464,-1432.89933365019,-25545.008115969584,8009.781485028517,3064.170057271863,5764.986595769961
36,female,-7434.2231073193925,-6896.958678992396,-21730.56950475285,9266.504293488593,3358.827124287073,6059.643662785171
36,male,-2479.314529106464,-1432.89933365019,-25545.008115969584,8009.781485028517,3064.170057271863,5764.986595769961
37,female,-7434.2231073193925,-6896.958678992396,-21730.56950475285,9266.504293488593,3358.827124287073,6059.643662785171
37,male,-2479.314529106464,-1432.89933365019,-25545.008115969584,8009.781485028517,3064.170057271863,5764.986595769961
38,female,-7434.2231073193925,-6896.958678992396,-21730.56950475285,9266.504293488593,3358.827124287073,6059.643662785171
38,male,-2479.314529106464,-1432.89933365019,-25545.008115969584,8009.781485028517,3064.170057271863,5764.986595769961
39,female,-7434.2231073193925,-6896.958678992396,-21730.56950475285,9266.504293488593,3358.827124287073,6059.643662785171
39,male,-2479.314529106464,-1432.89933365019,-25545.008115969584,8009.781485028517,3064.170057271863,5764.986595769961
40,female,-4259.964976425856,-4328.553926520912,-21036.107934695814,10669.620491207224,3478.241268773764,7867.1153452946755
40,male,-211.2110660646386,-374.75252110266166,-23718.81825,9961.722958412547,3253.5090021387828,7642.383078659695
41,female,-4259.964976425856,-4328.553926520912,-21036.107934695814,10669.620491207224,3478.241268773764,7867.1153452946755
41,male,-211.2110660646386,-374.75252110266166,-23718.81825,9961.722958412547,3253.5090021387828,7642.383078659695
42,female,-4259.964976425856,-4328.553926520912,-21036.107934695814,10669.620491207224,3478.241268773764,7867.1153452946755
42,male,-211.2110660646386,-374.75252110266166,-23718.81825,9961.722958412547,3253.5090021387828,7642.383078659695
43,female,-4259.964976425856,-4328.553926520912,-21036.107934695814,10669.620491207224,3478.241268773764,7867.1153452946755
43,male,-211.2110660646386,-374.75252110266166,-23718.81825,9961.722958412547,3253.5090021387828,7642.383078659695
44,female,-4259.964976425856,-4328.553926520912,-21036.107934695814,10669.620491207224,3478.241268773764,7867.1153452946755
44,male,-211.2110660646386,-374.75252110266166,-23718.81825,9961.722958412547,3253.5090021387828,7642.383078659695
45,female,-2017.8604739543728,-2086.4494240494296,-18794.00343222433,11886.596337214829,3578.552704134981,9709.682702709126
45,male,-357.58502994296555,-521.1264849809886,-23865.19221387833,11694.649650427757,3408.64077019962,9539.770768773764
46,female,-2017.8604739543728,-2086.4494240494296,-18794.00343222433,11886.596337214829,3578.552704134981,9709.682702709126
46,male,-357.58502994296555,-521.1264849809886,-23865.19221387833,11694.649650427757,3408.64077019962,9539.770768773764
47,female,-2017.8604739543728,-2086.4494240494296,-18794.00343222433,11886.596337214829,3578.552704134981,9709.682702709126
47,male,-357.58502994296555,-521.1264849809886,-23865.19221387833,11694.649650427757,3408.64077019962,9539.770768773764
48,female,-2017.8604739543728,-2086.4494240494296,-18794.00343222433,11886.596337214829,3578.552704134981,9709.682702709126
